DP05_0001E,DP05_0001PE,DP05_0002E,DP05_0002PE,DP05_0003E,DP05_0003PE,DP05_0004E,DP05_0004PE,DP05_0005E,DP05_0005PE,DP05_0006E,DP05_0006PE,DP05_0007E,DP05_0007PE,DP05_0008E,DP05_0008PE,DP05_0009E,DP05_0009PE,DP05_0010E,DP05_0010PE,DP05_0011E,DP05_0011PE,DP05_0012E,DP05_0012PE,DP05_0013E,DP05_0013PE,DP05_0014E,DP05_0014PE,DP05_0015E,DP05_0015PE,DP05_0016E,DP05_0016PE,DP05_0017E,DP05_0017PE,DP05_0018E,DP05_0018PE,DP05_0019E,DP05_0019PE,DP05_0020E,DP05_0020PE,DP05_0021E,DP05_0021PE,DP05_0022E,DP05_0022PE,DP05_0023E,DP05_0023PE,DP05_0024E,DP05_0024PE,DP05_0025E,DP05_0025PE,DP05_0026E,DP05_0026PE,DP05_0027E,DP05_0027PE,DP05_0028E,DP05_0028PE,DP05_0029E,DP05_0029PE,DP05_0030E,DP05_0030PE,DP05_0031E,DP05_0031PE,DP05_0032E,DP05_0032PE,DP05_0033E,DP05_0033PE,DP05_0034E,DP05_0034PE,DP05_0035E,DP05_0035PE,DP05_0036E,DP05_0036PE,DP05_0037E,DP05_0037PE,DP05_0038E,DP05_0038PE,DP05_0039E,DP05_0039PE,DP05_0040E,DP05_0040PE,DP05_0041E,DP05_0041PE,DP05_0042E,DP05_0042PE,DP05_0043E,DP05_0043PE,DP05_0044E,DP05_0044PE,DP05_0045E,DP05_0045PE,DP05_0046E,DP05_0046PE,DP05_0047E,DP05_0047PE,DP05_0048E,DP05_0048PE,DP05_0049E,DP05_0049PE,DP05_0050E,DP05_0050PE,DP05_0051E,DP05_0051PE,DP05_0052E,DP05_0052PE,DP05_0053E,DP05_0053PE,DP05_0054E,DP05_0054PE,DP05_0055E,DP05_0055PE,DP05_0056E,DP05_0056PE,DP05_0057E,DP05_0057PE,DP05_0058E,DP05_0058PE,DP05_0059E,DP05_0059PE,DP05_0060E,DP05_0060PE,DP05_0061E,DP05_0061PE,DP05_0062E,DP05_0062PE,DP05_0063E,DP05_0063PE,DP05_0064E,DP05_0064PE,DP05_0065E,DP05_0065PE,DP05_0066E,DP05_0066PE,DP05_0067E,DP05_0067PE,DP05_0068E,DP05_0068PE,DP05_0069E,DP05_0069PE,DP05_0070E,DP05_0070PE,DP05_0071E,DP05_0071PE,DP05_0072E,DP05_0072PE,DP05_0073E,DP05_0073PE,DP05_0074E,DP05_0074PE,DP05_0075E,DP05_0075PE,DP05_0076E,DP05_0076PE,DP05_0077E,DP05_0077PE,DP05_0078E,DP05_0078PE,DP05_0079E,DP05_0079PE,DP05_0080E,DP05_0080PE,DP05_0081E,DP05_0081PE,DP05_0082E,DP05_0082PE,DP05_0083E,DP05_0083PE,DP05_0084E,DP05_0084PE,DP05_0085E,DP05_0085PE,DP05_0086E,DP05_0086PE,DP05_0087E,DP05_0087PE,DP05_0088E,DP05_0088PE,DP05_0089E,DP05_0089PE,NAME
3255,3255,1502,46.1,1753,53.9,85.7,-888888888,146,4.5,259,8.0,126,3.9,299,9.2,162,5.0,248,7.6,382,11.7,594,18.2,355,10.9,147,4.5,306,9.4,179,5.5,52,1.6,45.1,-888888888,672,20.6,2697,82.9,2583,79.4,2394,73.5,617,19.0,537,16.5,2583,2583,1131,43.8,1452,56.2,77.9,-888888888,537,537,248,46.2,289,53.8,85.8,-888888888,3255,3255,3149,96.7,106,3.3,3149,96.7,2595,79.7,526,16.2,24,0.7,24,0.7,0,0.0,0,0.0,0,0.0,4,0.1,0,0.0,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,106,3.3,55,1.7,15,0.5,16,0.5,0,0.0,3255,3255,2694,82.8,601,18.5,39,1.2,40,1.2,0,0.0,0,0.0,3255,3255,104,3.2,95,2.9,0,0.0,0,0.0,9,0.3,3151,96.8,2491,76.5,526,16.2,24,0.7,4,0.1,0,0.0,0,0.0,106,3.3,0,0.0,106,3.3,1253,-888888888,2583,2583,1131,43.8,1452,56.2,ZCTA5 30663
10876,10876,5574,51.3,5302,48.7,105.1,-888888888,565,5.2,803,7.4,1143,10.5,730,6.7,681,6.3,1550,14.3,1544,14.2,1507,13.9,532,4.9,530,4.9,929,8.5,260,2.4,102,0.9,34.8,-888888888,2948,27.1,8188,75.3,7928,72.9,7527,69.2,1538,14.1,1291,11.9,7928,7928,3909,49.3,4019,50.7,97.3,-888888888,1291,1291,588,45.5,703,54.5,83.6,-888888888,10876,10876,10755,98.9,121,1.1,10755,98.9,8423,77.4,1630,15.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,202,1.9,0,0.0,0,0.0,0,0.0,0,0.0,33,0.3,8,0.1,161,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,496,4.6,121,1.1,75,0.7,21,0.2,25,0.2,0,0.0,10876,10876,8544,78.6,1705,15.7,25,0.2,227,2.1,0,0.0,496,4.6,10876,10876,1024,9.4,495,4.6,85,0.8,0,0.0,444,4.1,9852,90.6,7860,72.3,1630,15.0,4,0.0,202,1.9,0,0.0,35,0.3,121,1.1,0,0.0,121,1.1,3700,-888888888,7699,7699,3810,49.5,3889,50.5,ZCTA5 30666
42934,42934,20925,48.7,22009,51.3,95.1,-888888888,2550,5.9,2695,6.3,4016,9.4,3813,8.9,2088,4.9,4634,10.8,6057,14.1,6946,16.2,2304,5.4,2399,5.6,3955,9.2,1348,3.1,129,0.3,38.0,-888888888,11963,27.9,32862,76.5,30971,72.1,29301,68.2,6913,16.1,5432,12.7,30971,30971,14479,46.8,16492,53.2,87.8,-888888888,5432,5432,2487,45.8,2945,54.2,84.4,-888888888,42934,42934,42412,98.8,522,1.2,42412,98.8,40030,93.2,1641,3.8,103,0.2,0,0.0,0,0.0,0,0.0,0,0.0,526,1.2,233,0.5,21,0.0,33,0.1,15,0.0,46,0.1,83,0.2,95,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,112,0.3,522,1.2,170,0.4,104,0.2,87,0.2,0,0.0,42934,42934,40465,94.2,1899,4.4,216,0.5,697,1.6,0,0.0,226,0.5,42934,42934,3387,7.9,1906,4.4,324,0.8,318,0.7,839,2.0,39547,92.1,37104,86.4,1459,3.4,0,0.0,519,1.2,0,0.0,26,0.1,439,1.0,9,0.0,430,1.0,14566,-888888888,29816,29816,13968,46.8,15848,53.2,ZCTA5 30115
35620,35620,16625,46.7,18995,53.3,87.5,-888888888,2318,6.5,2383,6.7,2418,6.8,2883,8.1,4296,12.1,5550,15.6,3814,10.7,4394,12.3,1526,4.3,1466,4.1,2733,7.7,1339,3.8,500,1.4,31.0,-888888888,8618,24.2,28012,78.6,27002,75.8,24962,70.1,5488,15.4,4572,12.8,27002,27002,12594,46.6,14408,53.4,87.4,-888888888,4572,4572,1829,40.0,2743,60.0,66.7,-888888888,35620,35620,34976,98.2,644,1.8,34976,98.2,24620,69.1,8345,23.4,629,1.8,13,0.0,0,0.0,0,0.0,0,0.0,315,0.9,97,0.3,170,0.5,0,0.0,13,0.0,10,0.0,25,0.1,0,0.0,49,0.1,0,0.0,49,0.1,0,0.0,0,0.0,1018,2.9,644,1.8,330,0.9,103,0.3,43,0.1,0,0.0,35620,35620,25212,70.8,8745,24.6,762,2.1,358,1.0,49,0.1,1168,3.3,35620,35620,4071,11.4,1452,4.1,373,1.0,53,0.1,2193,6.2,31549,88.6,22066,61.9,8308,23.3,13,0.0,315,0.9,49,0.1,298,0.8,500,1.4,24,0.1,476,1.3,14820,-888888888,25387,25387,11676,46.0,13711,54.0,ZCTA5 30117
70298,70298,34087,48.5,36211,51.5,94.1,-888888888,4185,6.0,4532,6.4,5280,7.5,5908,8.4,4184,6.0,6903,9.8,9855,14.0,12042,17.1,5367,7.6,4305,6.1,4813,6.8,2277,3.2,647,0.9,39.3,-888888888,18034,25.7,55074,78.3,52264,74.3,49515,70.4,10092,14.4,7737,11.0,52264,52264,24903,47.6,27361,52.4,91.0,-888888888,7737,7737,3547,45.8,4190,54.2,84.7,-888888888,70298,70298,68073,96.8,2225,3.2,68073,96.8,34203,48.7,30382,43.2,350,0.5,84,0.1,0,0.0,0,0.0,0,0.0,1267,1.8,30,0.0,77,0.1,52,0.1,28,0.0,108,0.2,629,0.9,343,0.5,5,0.0,5,0.0,0,0.0,0,0.0,0,0.0,1866,2.7,2225,3.2,674,1.0,245,0.3,217,0.3,78,0.1,70298,70298,35656,50.7,31858,45.3,828,1.2,1799,2.6,20,0.0,2531,3.6,70298,70298,6856,9.8,2487,3.5,1727,2.5,295,0.4,2347,3.3,63442,90.2,30544,43.4,29676,42.2,114,0.2,1267,1.8,5,0.0,166,0.2,1670,2.4,146,0.2,1524,2.2,23577,-888888888,49866,49866,23537,47.2,26329,52.8,ZCTA5 30127
42607,42607,20696,48.6,21911,51.4,94.5,-888888888,3037,7.1,2892,6.8,3284,7.7,2922,6.9,2509,5.9,5690,13.4,5550,13.0,6415,15.1,2344,5.5,2384,5.6,3195,7.5,1812,4.3,573,1.3,36.5,-888888888,10885,25.5,33014,77.5,31722,74.5,29950,70.3,7164,16.8,5580,13.1,31722,31722,15367,48.4,16355,51.6,94.0,-888888888,5580,5580,2250,40.3,3330,59.7,67.6,-888888888,42607,42607,41402,97.2,1205,2.8,41402,97.2,33151,77.8,6510,15.3,194,0.5,23,0.1,0,0.0,0,0.0,0,0.0,403,0.9,165,0.4,157,0.4,0,0.0,19,0.0,29,0.1,0,0.0,33,0.1,58,0.1,58,0.1,0,0.0,0,0.0,0,0.0,1086,2.5,1205,2.8,346,0.8,246,0.6,0,0.0,0,0.0,42607,42607,34065,80.0,7189,16.9,440,1.0,668,1.6,154,0.4,1366,3.2,42607,42607,3156,7.4,850,2.0,536,1.3,54,0.1,1716,4.0,39451,92.6,31444,73.8,6406,15.0,194,0.5,384,0.9,58,0.1,19,0.0,946,2.2,28,0.1,918,2.2,14896,-888888888,30460,30460,14552,47.8,15908,52.2,ZCTA5 30132
23733,23733,11449,48.2,12284,51.8,93.2,-888888888,1152,4.9,1257,5.3,1691,7.1,1693,7.1,1588,6.7,2904,12.2,3570,15.0,3908,16.5,1732,7.3,1548,6.5,1823,7.7,644,2.7,223,0.9,38.7,-888888888,5291,22.3,19450,82.0,18442,77.7,17492,73.7,3723,15.7,2690,11.3,18442,18442,8606,46.7,9836,53.3,87.5,-888888888,2690,2690,1129,42.0,1561,58.0,72.3,-888888888,23733,23733,23150,97.5,583,2.5,23150,97.5,16248,68.5,6622,27.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,207,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,207,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,73,0.3,583,2.5,237,1.0,56,0.2,119,0.5,24,0.1,23733,23733,16695,70.3,6995,29.5,120,0.5,326,1.4,72,0.3,148,0.6,23733,23733,1722,7.3,1032,4.3,187,0.8,165,0.7,338,1.4,22011,92.7,15002,63.2,6380,26.9,0,0.0,46,0.2,0,0.0,0,0.0,583,2.5,35,0.1,548,2.3,9188,-888888888,17923,17923,8356,46.6,9567,53.4,ZCTA5 30141
34159,34159,16461,48.2,17698,51.8,93.0,-888888888,1585,4.6,2218,6.5,2414,7.1,2126,6.2,1907,5.6,4220,12.4,4410,12.9,4396,12.9,2178,6.4,2131,6.2,3416,10.0,2220,6.5,938,2.7,41.1,-888888888,7592,22.2,27374,80.1,26567,77.8,25460,74.5,7899,23.1,6574,19.2,26567,26567,12776,48.1,13791,51.9,92.6,-888888888,6574,6574,2759,42.0,3815,58.0,72.3,-888888888,34159,34159,33187,97.2,972,2.8,33187,97.2,24669,72.2,7486,21.9,136,0.4,8,0.0,0,0.0,0,0.0,0,0.0,290,0.8,125,0.4,35,0.1,34,0.1,0,0.0,87,0.3,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,606,1.8,972,2.8,470,1.4,149,0.4,29,0.1,29,0.1,34159,34159,25414,74.4,7994,23.4,341,1.0,535,1.6,47,0.1,854,2.5,34159,34159,2107,6.2,781,2.3,13,0.0,133,0.4,1180,3.5,32052,93.8,23199,67.9,7452,21.8,136,0.4,277,0.8,0,0.0,39,0.1,949,2.8,225,0.7,724,2.1,15463,-888888888,25652,25652,12218,47.6,13434,52.4,ZCTA5 30161
5409,5409,2536,46.9,2873,53.1,88.3,-888888888,232,4.3,270,5.0,411,7.6,403,7.5,268,5.0,496,9.2,814,15.0,688,12.7,301,5.6,440,8.1,822,15.2,236,4.4,28,0.5,42.4,-888888888,1217,22.5,4456,82.4,4192,77.5,3966,73.3,1266,23.4,1086,20.1,4192,4192,1953,46.6,2239,53.4,87.2,-888888888,1086,1086,443,40.8,643,59.2,68.9,-888888888,5409,5409,4825,89.2,584,10.8,4825,89.2,4721,87.3,56,1.0,48,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,584,10.8,40,0.7,486,9.0,56,1.0,0,0.0,5409,5409,5305,98.1,96,1.8,534,9.9,58,1.1,2,0.0,0,0.0,5409,5409,82,1.5,49,0.9,0,0.0,0,0.0,33,0.6,5327,98.5,4677,86.5,44,0.8,48,0.9,0,0.0,0,0.0,0,0.0,558,10.3,0,0.0,558,10.3,2302,-888888888,4152,4152,1940,46.7,2212,53.3,ZCTA5 30175
31127,31127,15212,48.9,15915,51.1,95.6,-888888888,2710,8.7,2750,8.8,1994,6.4,2287,7.3,2366,7.6,4671,15.0,4163,13.4,3303,10.6,1622,5.2,1523,4.9,1734,5.6,1447,4.6,557,1.8,31.9,-888888888,8712,28.0,23343,75.0,22415,72.0,20695,66.5,4680,15.0,3738,12.0,22415,22415,10612,47.3,11803,52.7,89.9,-888888888,3738,3738,1674,44.8,2064,55.2,81.1,-888888888,31127,31127,30286,97.3,841,2.7,30286,97.3,24583,79.0,4250,13.7,80,0.3,13,0.0,0,0.0,0,0.0,0,0.0,155,0.5,28,0.1,105,0.3,17,0.1,0,0.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1218,3.9,841,2.7,203,0.7,248,0.8,65,0.2,39,0.1,31127,31127,25259,81.1,4588,14.7,441,1.4,303,1.0,44,0.1,1428,4.6,31127,31127,14246,45.8,11033,35.4,154,0.5,59,0.2,3000,9.6,16881,54.2,11829,38.0,4245,13.6,13,0.0,155,0.5,0,0.0,75,0.2,564,1.8,28,0.1,536,1.7,11491,-888888888,16402,16402,7172,43.7,9230,56.3,ZCTA5 30501
