ADDRESS,CITY,STATE OR PROVINCE,YEAR BUILT,ZIP OR POSTAL CODE,PRICE,SQUARE FEET,LATITUDE,LONGITUDE,Solar Heating,Furnace,Natural Gas,Propane,Diesel,Heating Oil,Wood/Pellet,Electric,Heat Pump,Baseboard,Swamp Coolers,Radiant Floor
6025 Kellogg Ave,Edina,MN,2022,55424,1856556,,44.893513,-93.33753,false,false,true,false,false,false,false,false,false,false,false,true
5501 Halifax Ln,Edina,MN,2022,55424,2848504,,44.903427,-93.329865,false,false,true,false,false,false,false,false,false,false,false,true
5420 Oaklawn Ave,Edina,MN,2022,55424,2452714,,44.904316,-93.336975,false,false,true,false,false,false,false,false,false,false,false,true
5932 Halifax Ave S,Edina,MN,2022,55424,2411223,,44.894302,-93.33139,false,false,true,false,false,false,false,false,false,false,false,true
5909 Ashcroft Ave,Edina,MN,2022,55424,1590416,,44.895855,-93.34263,false,false,true,false,false,false,false,false,false,false,false,true
5833 Fairfax Ave,Edina,MN,2022,55424,1459772,,44.89682,-93.34013,false,false,true,false,false,false,false,false,false,false,false,true
5828 Brookview Ave,Edina,MN,2022,55424,1622867,,44.896954,-93.335686,false,false,true,false,false,false,false,false,false,false,false,true
4440 Garrison Ln,Edina,MN,2022,55424,1408982,,44.890217,-93.3383,false,false,true,false,false,false,false,false,false,false,false,true
5921 Kellogg Ave,Edina,MN,2022,55424,1620000,,44.89544,-93.337494,false,false,true,false,false,false,false,false,false,false,false,true
9905 N 46th St,Tampa,FL,2022,33617,350000,1340,28.039238,-82.40967,false,false,true,false,false,false,false,true,false,false,false,true
9507 N Hyaleah Rd,Tampa,FL,2022,33617,485000,2026,28.035046,-82.40499,false,false,true,false,false,false,false,true,false,false,false,true
4009 E Miller Ave,Tampa,FL,2022,33617,375500,1700,28.022205,-82.414276,false,false,true,false,false,false,false,true,false,false,false,true
10306 N Myrtle St,Tampa,FL,2022,33617,539000,2121,28.04248,-82.39929,false,false,true,false,false,false,false,true,false,false,false,true
330 Bahamas Ave,Temple Terrace,FL,2022,33617,125000,,28.02677,-82.39017,false,false,true,false,false,false,false,true,false,false,false,true
